🕘️更新时间,#genre#
2026-04-13 06:57:24,https://iptv.catvod.com/live.php?id=CCTV1&line=11

📺央视频道,#genre#
北京卫视,http://114.254.95.53:8888/rtp/239.3.1.241:8000
北京卫视,http://116.9.34.24:4000/udp/239.81.0.109:4056
北京卫视,http://124.112.240.249:4022/rtp/238.1.78.162:7168
北京卫视,http://171.8.168.199:8800/rtp/239.16.20.76:10760
北京卫视,http://220.176.218.165:9000/udp/239.252.219.206:5140
北京卫视,http://124.114.101.175:6789/rtp/239.112.205.65:5140
北京卫视,http://171.119.205.232:6000/rtp/226.0.2.177:9328
湖北卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86&line=3
湖北卫视,https://iptv.catvod.com/live.php?id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86&line=1
湖北卫视,http://154.37.212.176/ysp.php?pid=600002508&id=2024171203
湖北卫视,http://115.171.216.58:4000/udp/225.1.8.47:8044
湖北卫视,http://116.9.34.24:4000/udp/239.81.0.112:4056
湖北卫视,http://106.116.126.206:4022/rtp/239.254.200.164:6000
湖北卫视,http://114.254.95.53:8888/rtp/239.3.1.138:8044
湖北卫视,http://115.171.216.23:4000/udp/225.1.8.47:8044
湖北卫视,http://114.226.212.171:8787/rtp/239.49.8.8:9632
湖北卫视,http://171.8.168.199:8800/rtp/239.16.20.87:10870
黑龙江卫视,https://iptv.catvod.com/live.php?id=%E9%BB%91%E9%BE%99%E6%B1%9F%E5%8D%AB%E8%A7%86&line=1
黑龙江卫视,https://iptv.catvod.com/live.php?id=%E9%BB%91%E9%BE%99%E6%B1%9F%E5%8D%AB%E8%A7%86&line=5
黑龙江卫视,https://iptv.catvod.com/live.php?id=%E9%BB%91%E9%BE%99%E6%B1%9F%E5%8D%AB%E8%A7%86&line=2
黑龙江卫视,http://154.37.212.176/ysp.php?pid=600002498&id=2029797003
黑龙江卫视,http://114.226.212.171:8787/rtp/239.49.8.144:6000
黑龙江卫视,http://114.254.95.53:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://114.226.212.171:8787/rtp/239.49.8.14:9426
黑龙江卫视,http://171.119.205.232:6000/rtp/226.0.2.151:9120
黑龙江卫视,http://124.114.101.175:6789/rtp/239.112.205.68:5140
黑龙江卫视,http://220.176.218.165:9000/udp/239.252.219.211:5140
安徽卫视,https://iptv.catvod.com/live.php?id=%E5%AE%89%E5%BE%BD%E5%8D%AB%E8%A7%86&line=2
安徽卫视,https://iptv.catvod.com/live.php?id=%E5%AE%89%E5%BE%BD%E5%8D%AB%E8%A7%86&line=3
安徽卫视,http://154.37.212.176/ysp.php?pid=600002532&id=2024171403
安徽卫视,http://114.254.95.53:8888/rtp/239.3.1.211:8064
安徽卫视,http://106.116.126.206:4022/rtp/239.254.200.163:6000
安徽卫视,http://220.176.218.165:9000/udp/239.252.220.83:5140
安徽卫视,http://124.114.101.175:6789/rtp/239.112.205.72:5140
安徽卫视,http://114.226.212.171:8787/rtp/239.49.8.204:6000
安徽卫视,http://106.59.2.140:55555/udp/239.200.200.129:8720
安徽卫视,http://171.119.205.232:6000/rtp/226.0.2.145:9072
重庆卫视,http://154.37.212.176/ysp.php?pid=600002531&id=2024061103
重庆卫视,http://106.87.49.200:8888/rtp/235.254.196.249:1268
重庆卫视,http://123.118.56.249:8686/rtp/239.3.1.122:8160
重庆卫视,http://115.171.216.58:4000/udp/225.1.8.172:8162
重庆卫视,http://115.171.216.23:4000/udp/225.1.8.172:8162
重庆卫视,http://114.254.95.53:8888/rtp/239.3.1.122:8160
重庆卫视,http://115.171.80.124:1688/udp/225.1.8.172:8162
重庆卫视,http://124.114.101.175:6789/rtp/239.112.205.179:5140
重庆卫视,https://iptv.catvod.com/live.php?id=%E9%87%8D%E5%BA%86%E5%8D%AB%E8%A7%86&line=1
重庆卫视,http://220.176.218.165:9000/udp/239.252.220.94:5140
东方卫视,http://154.37.212.176/ysp.php?pid=600002483&id=2024054503
东方卫视,http://115.171.216.58:4000/udp/225.1.8.45:8032
东方卫视,http://106.116.126.206:4022/rtp/239.254.200.52:8032
东方卫视,http://106.87.49.200:8888/rtp/235.254.198.73:1568
东方卫视,http://39.77.157.57:4002/rtp/239.253.254.86:8000
东方卫视,http://39.77.162.237:4002/rtp/239.253.254.86:8000
